"ui_resources";"1.0"
# version: 2.0.4
"object_id";"text[eng]:label";"text[ger]:label";"text[fre]:label";"text[ita]:label";"file:icon"
"rating/DVB/0";"3+";"3+";"3+";"3+";"icon/3.png"
"rating/DVB/1";"4+";"4+";"4+";"4+";"icon/4.png"
"rating/DVB/2";"5+";"5+";"5+";"5+";"icon/5.png"
"rating/DVB/3";"6+";"6+";"6+";"6+";"icon/6.png"
"rating/DVB/4";"7+";"7+";"7+";"7+";"icon/7.png"
"rating/DVB/5";"8+";"8+";"8+";"8+";"icon/8.png"
"rating/DVB/6";"9+";"9+";"9+";"9+";"icon/9.png"
"rating/DVB/7";"10+";"10+";"10+";"10+";"icon/10.png"
"rating/DVB/8";"11+";"11+";"11+";"11+";"icon/11.png"
"rating/DVB/9";"12+";"12+";"12+";"12+";"icon/12.png"
"rating/DVB/10";"13+";"13+";"13+";"13+";"icon/13.png"
"rating/DVB/11";"14+";"14+";"14+";"14+";"icon/14.png"
"rating/DVB/12";"15+";"15+";"15+";"15+";"icon/15.png"
"rating/DVB/13";"16+";"16+";"16+";"16+";"icon/16.png"
"rating/DVB/14";"17+";"17+";"17+";"17+";"icon/17.png"
"rating/DVB/15";"18+";"18+";"18+";"18+";"icon/18.png"
"rating_threshold/DVB/1";"4";"4";"4";"4";"icon/4.png"
"rating_threshold/DVB/2";"5";"5";"5";"5";"icon/5.png"
"rating_threshold/DVB/3";"6";"6";"6";"6";"icon/6.png"
"rating_threshold/DVB/4";"7";"7";"7";"7";"icon/7.png"
"rating_threshold/DVB/5";"8";"8";"8";"8";"icon/8.png"
"rating_threshold/DVB/6";"9";"9";"9";"9";"icon/9.png"
"rating_threshold/DVB/7";"10";"10";"10";"10";"icon/10.png"
"rating_threshold/DVB/8";"11";"11";"11";"11";"icon/11.png"
"rating_threshold/DVB/9";"12";"12";"12";"12";"icon/12.png"
"rating_threshold/DVB/10";"13";"13";"13";"13";"icon/13.png"
"rating_threshold/DVB/11";"14";"14";"14";"14";"icon/14.png"
"rating_threshold/DVB/12";"15";"15";"15";"15";"icon/15.png"
"rating_threshold/DVB/13";"16";"16";"16";"16";"icon/16.png"
"rating_threshold/DVB/14";"17";"17";"17";"17";"icon/17.png"
"rating_threshold/DVB/15";"18";"18";"18";"18";"icon/18.png"
"rating_threshold/DVB/255";"UNLOCK ALL";"ALLE ENTSPERREN";"DÉBLOQUER TOUS";"SBLOCCA TUTTI";
"PIN/master";"PIN CODE";"PIN CODE";"CODE PIN";"CODICE PIN";
"PIN/validity_rule/4_digits";"The code shall be a 4 digits number.";"Der Code muss eine 4-stellige Zahl sein.";"Le code doit être un nombre à 4 chiffres.";"Il codice deve essere un numero di 4 cifre.";
"PIN/validity_rule/4_digits_2_different";"The code shall be a 4 digits number with at least 2 different digits.";"Der Code muss ein 4-stellige Nummer mit mindestens 2 verschiedenen Ziffern lang sein.";"Le code doit être un nombre à 4 chiffres dont au moins 2 différents.";"Il codice deve essere un numero di 4 cifre con almeno 2 cifre diverse.";
