"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"adult_content_alternative";"X";"adult";"Erotique";"erotiek";"Erotik";"Erotique";"erotico";;"erotik";;"Erotik";"erotikk";"erotik";"Erotika";"erotyka";"Erotika";"Erotika";"adult"
"programme_genre/DVB/1";;"MOVIE";"FILMS";"SPEELFILM";"SPIELFILME";"FILMS";"FILM";"SPIELFILME";"FİLM";"MOVIE";"SPIELFILME";"film";"film";"Film";"film";"Film";"Film";"film"
"programme_genre/DVB/2";;"NEWS";"INFORMATIONS";"NIEUWS";"NACHRICHTEN";"INFORMATIONS";"NOTIZIE";"NACHRICHTEN";"HABERLER";"NEWS";"NACHRICHTEN";"nyheter";"nyheter";"Hírek";"wiadomości";"Zprávy";"Správy";"stiri"
"programme_genre/DVB/3";;"VARIETY & GAME SHOWS";"SPECTACLES/ÉMISSION DE JEU";"SHOW & SPELSHOW";"SHOWS & GAME SHOWS";"SPECTACLES & JEUX TV";"SPETTACOLI/QUIZ TV";"SHOWS & GAME SHOWS";"VARYETE VE YARIŞMALAR";"VARIETY & GAME SHOWS";"SHOWS/GAME SHOW";"show/konkurranse";"tv-show";"Vetélkedő";"rozrywka";"Show";"Show";"spectacol/concurs"
"programme_genre/DVB/4";;"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPOR";"SPORT";"SPORT";"sport";"sport";"Sport";"sport";"Sport";"Šport";"sport"
"programme_genre/DVB/5";;"KIDS & YOUTH";"ENFANTS/JEUNESSE";"KIDS & JEUGD";"KINDER/JUGEND";"ENFANTS & JEUNESSE";"BAMBINI & RAGAZZI";"KINDER/JUGEND";"ÇOCUKLAR VE GENÇLİK";"KIDS & YOUTH";"KINDER/JUGEND";"barn/ungdom";"barn/ungdomar";"Gyermek/Ifjúsági";"dzieci i młodzież";"Dětský/Mládežnický";"Detský/Mládežnícky";"copii/tineret"
"programme_genre/DVB/6";;"MUSIC & DANCE";"MUSIQUE/DANSE";"MUZIEK & DANS";"MUSIK & TANZ";"MUSIQUE & DANSE";"MUSICA & DANZA";"MUSIK & TANZ";"MÜZİK VE DANS";"MUSIC & DANCE";"MUSIK/TANZ";"musikk/dans";"musik/dans";"Zene/Tánc";"muzyka";"Hudba/Tanec";"Hudba/Tanec";"muzica/dans"
"programme_genre/DVB/7";;"ARTS & CULTURE";"ARTS/CULTURE";"KUNST & CULTUUR";"KUNST & KULTUR";"ARTS & CULTURE";"ARTE & CULTURA";"KUNST & KULTUR";"SANAT VE KÜLTÜR";"ARTS & CULTURE";"KUNST/KULTUR";"kunst/kultur";"konst/kultur";"Művészet/Kultúra";"kultura";"Umění/Kultura";"Umenie/Kultúra";"arta/cultura"
"programme_genre/DVB/8";;"CURRENT AFFAIRS";"POLITIQUE/ÉCONOMIE";"MAATSCHAPPIJ";"POLITIK/WIRTSCHAFT ";"POLITIQUE & ÉCONOMIE";"POLITICA & ECONOMIA ";"POLITIK/WIRTSCHAFT ";"GÜNLÜK GELİŞMELER";"CURRENT AFFAIRS";"POLITIK/WIRTSCHAFT ";"samfunn/politikk";"samhälle/politik";"Társadalmi/Politikai";"publicystyka";"Společnost/Politika";"Spoločnosť/Politika";"social/politic"
"programme_genre/DVB/9";;"EDUCATIONAL";"EDUCATIF";"EDUCATIE";"BILDUNG";"EDUCATIF";"EDUCAZIONE";"BILDUNG";"EĞİTİM";"EDUCATIONAL";"BILDUNG";"utdannelse";"utbildning";"Oktatási";"edukacja";"Vzdělávací";"Vzdelávací";"educational"
"programme_genre/DVB/10";;"LEISURE";"LOISIRS";"VRIJE TIJD";"FREIZEIT";"LOISIRS";"TEMPO LIBERO";"FREIZEIT";"EĞLENCE";"LEISURE";"FREIZEIT";"fritid";"fritid";"Szabadidő";"czas wolny";"Volný čas";"Voľný čas";"relaxare"
"programme_genre/DVB/11";;"SPECIAL";"SPÉCIAL";"SPECIAAL";"SPECIALS";"SPÉCIAL";"SERVIZI SPECIALI";"SPECIALS";"ÖZEL";"SPECIAL";"SPECIALS";"spesielt";"special";"Különleges";"specjalne";"Zvláštní vydání";"Zvláštene vydanie";"special"
"programme_genre/DVB/12";;"ENTERTAINMENT";;"ENTERTAINMENT";"UNTERHALTUNG";"DIVERTISSEMENTS";"INTRATTENIMENTO";"UNTERHALTUNG";"EĞLENCE";"ENTERTAINMENT";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/13";;"CRIME";;"MISDAAD";"KRIMI";"POLICIER";"POLIZIESCO";"KRIMI";"SUÇ";"CRIME";" ";" ";" ";" ";" ";" ";" ";" "
